Fecha	Hora_Inicio	Horario	Km_Recorridos	Minutos_Empleados	Eje_X	Eje_Y
2021-11-20	20/11/2021 19:03	Tarde	4,56	48		
2021-11-17	17/11/2021 18:30	Tarde	4,5	51		
2021-11-15	15/11/2021 18:22	Tarde	4,56	50		
2021-11-10	10/11/2021 18:37	Tarde	4,78	49		
2021-11-08	8/11/2021 19:00	Tarde	2,07	24		
2021-11-06	6/11/2021 09:49	Mañana	4,58	48		
2021-11-03	3/11/2021 18:39	Tarde	4,34	46		
2021-11-01	1/11/2021 18:20	Tarde	4,42	49		
2021-10-29	29/10/2021 18:21	Tarde	4,42	48		
2021-10-25	25/10/2021 17:46	Tarde	4,50	50		
2021-10-22	22/10/2021 18:21	Tarde	4,42	47		
2021-10-18	18/10/2021 18:16	Tarde	4,70	51		
2021-10-16	16/10/2021 12:31	Tarde	3,90	44		
2021-10-11	11/10/2021 12:43	Tarde	4,54	47		
2021-10-08	8/10/2021 19:15	Tarde	4,83	49		
2021-10-04	4/10/2021 18:31	Tarde	4,45	50		
2021-10-02	2/10/2021 08:30	Mañana	5,40	60		
2021-10-01	1/10/2021 18:56	Tarde	4,57	51		
2021-09-27	27/9/2021 11:59	Mañana	4,56	48		
