Fecha	Split	Velocidad_KmxH	Metros_Elevacion	Km_Split
2021-11-20	1	5,68	-1	1,00
2021-11-20	2	5,6	-1	1,00
2021-11-20	3	5,83	3	1,00
2021-11-20	4	5,61	-2	1,00
2021-11-20	5	5,92	-8	0,56
2021-11-17	1	5,72	-1	1,00
2021-11-17	2	5,41	0	1,00
2021-11-17	3	5,25	4	1,00
2021-11-17	4	4,77	-6	1,00
2021-11-17	5	5,58	0	0,50
2021-11-15	1	5,31	0	1,00
2021-11-15	2	5,41	0	1,00
2021-11-15	3	5,38	4	1,00
2021-11-15	4	5,61	-5	1,00
2021-11-15	5	5,82	-6	0,56
2021-11-10	1	5,79	3	1,00
2021-11-10	2	5,81	-1	1,00
2021-11-10	3	5,92	4	1,00
2021-11-10	4	5,74	-1	1,00
2021-11-10	5	4,54	-1	0,78
2021-11-08	1	5,02	-4	1,00
2021-11-08	2	5,17	-5	1,00
2021-11-08	3	6,16	0	1,00
2021-11-08	4	6,23	-2	1,00
2021-11-08	5	5,73	-4	0,07
2021-11-06	1	5,98	0	1,00
2021-11-06	2	6,00	1	1,00
2021-11-06	3	5,60	4	1,00
2021-11-06	4	5,77	-3	1,00
2021-11-06	5	5,09	-1	0,58
2021-11-03	1	5,46	0	1,00
2021-11-03	2	5,75	1	1,00
2021-11-03	3	5,80	-3	1,00
2021-11-03	4	5,67	0	1,00
2021-11-03	5	5,20	-8	0,34
2021-11-01	1	5,16	-1	1,00
2021-11-01	2	5,78	0	1,00
2021-11-01	3	5,46	1	1,00
2021-11-01	4	5,51	-4	1,00
2021-11-01	5	4,82	0	0,42
2021-10-29	1	5,37	-1	1,00
2021-10-29	2	5,68	0	1,00
2021-10-29	3	5,67	2	1,00
2021-10-29	4	5,47	-4	1,00
2021-10-29	5	5,45	1	0,42
2021-10-25	1	5,24	4	1,00
2021-10-25	2	5,41	1	1,00
2021-10-25	3	5,46	-2	1,00
2021-10-25	4	5,45	0	1,00
2021-10-25	5	5,40	-8	0,50
2021-10-22	1	5,37	-1	1,00
2021-10-22	2	5,68	0	1,00
2021-10-22	3	5,67	2	1,00
2021-10-22	4	5,47	-4	1,00
2021-10-22	5	4,45	1	0,42
2021-10-18	1	5,59	0	1,00
2021-10-18	2	5,69	-1	1,00
2021-10-18	3	5,55	6	1,00
2021-10-18	4	5,42	-6	1,00
2021-10-18	5	5,44	1	0,70
2021-10-16	1	5,69	-1	1,00
2021-10-16	2	5,47	1	1,00
2021-10-16	3	4,94	-5	1,00
2021-10-16	4	5,24	-1	1,00
2021-10-16	5	5,33	-3	0,90
2021-10-11	1	5,89	0	1,00
2021-10-11	2	5,97	-1	1,00
2021-10-11	3	5,63	3	1,00
2021-10-11	4	5,58	-3	1,00
2021-10-11	5	5,59	5	0,54
2021-10-08	1	5,73	-3	1,00
2021-10-08	2	6,01	-1	1,00
2021-10-08	3	5,61	4	1,00
2021-10-08	4	5,75	2	1,00
2021-10-08	5	5,64	3	0,83
2021-10-04	1	5,08	0	1,00
2021-10-04	2	5,76	-1	1,00
2021-10-04	3	5,06	4	1,00
2021-10-04	4	5,56	-4	1,00
2021-10-04	5	5,40	3	0,45
2021-10-02	1	5,74	12	1,00
2021-10-02	2	5,79	-2	1,00
2021-10-02	3	5,70	3	1,00
2021-10-02	4	5,64	-8	1,00
2021-10-02	5	5,07	-9	0,40
2021-10-01	1	5,35	-1	1,00
2021-10-01	2	5,51	-1	1,00
2021-10-01	3	5,19	4	1,00
2021-10-01	4	5,76	-5	1,00
2021-10-01	5	5,35	2	0,57
2021-09-27	1	5,70	-1	1,00
2021-09-27	2	5,89	0	1,00
2021-09-27	3	5,38	6	1,00
2021-09-27	4	5,75	-6	1,00
2021-09-27	5	5,64	-1	0,56
2021-09-24	1	5,83	-4	1,00
2021-09-24	2	6,21	1	1,00
2021-09-24	3	5,43	-2	1,00
2021-09-24	4	5,74	3	1,00
2021-09-24	5	5,94	5	0,92
2021-09-20	1	5,56	1	1,00
2021-09-20	2	5,65	-2	1,00
2021-09-20	3	5,90	4	1,00
2021-09-20	4	5,55	3	1,00
2021-09-20	5	5,22	-4	0,37
