Fecha,Km,Tiempo,Km/h,Calorias,Split1,Split2,Split3,Split4,Split5
15-Nov,4.56,0:50:00,5.47,481,5.31,5.41,5.38,5.61,5.82
10-Nov,4.78,0:49:01,5.55,522,5.79,5.81,5.92,5.74,4.54
08-Nov,2.07,0:24:19,5.11,212,5.02,5.17,6.16,0.00,0.00
06-Nov,4.58,0:47:59,5.72,505,5.98,6.00,5.60,5.77,5.09
03-Nov,4.34,0:46:21,5.62,469,5.46,5.75,5.80,5.67,5.20
01-Nov,4.42,0:49:04,5.40,468,5.16,5.78,5.46,5.51,4.82
18-Oct,4.7,0:50:54,5.54,496,5.59,5.69,5.55,5.42,5.44
16-Oct,3.9,0:44:02,5.32,417,5.69,5.47,4.94,5.24,0.00
11-Oct,4.54,0:47:27,5.74,486,5.89,5.97,5.63,5.58,5.59
04-Oct,4.45,0:49:54,5.35,480,5.08,5.76,5.06,5.56,5.40
02-Oct,5.4,1:00:09,5.39,589,5.74,5.79,5.70,5.64,5.07
01-Oct,4.57,0:50:31,5.43,493,5.35,5.51,5.19,5.76,5.35
